,point_victor,who_to_serve,consumption_of_strength,consumption,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_serve_speed_ave, p2_serve_speed_ave,width_1,width_2,depth_1,depth_2,depth_return_1,depth_return_2
0,2,1,0.765306122,0.765306122,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,95,0,2,0,2,0,2,0
1,1,1,0.753515468,0.753515468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.5,0,1,0,1,0,2,0
2,2,1,0.721115653,0.721115653,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,111,0,1,0,2,0,1,0
3,1,1,0.690032888,0.690032888,0,0,0.333333333,0,0,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,0,115.75,0,3,0,1,0,1,0
4,1,1,0.690824384,0.690824384,0.2,0,0.5,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,115,0,5,0,2,0,0,0
5,2,1,0.711231429,0.711231429,0.166666667,0,0.4,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,112,0,3,0,2,0,2,0
6,1,1,0.667272018,0.667272018,0.285714286,0,0.5,0,0,0,0.166666667,0,0,0.166666667,0,0,0,0,0,0,0,0,111.5714286,0,5,0,1,0,1,0
7,2,1,0.703270488,0.703270488,0.25,0,0.428571429,0.142857143,0,0,0.142857143,0,0,0.285714286,0,0.142857143,0,0,0,0,0,0,110.75,0,1,0,2,0,2,0
8,1,1,0.801002746,0.801002746,0.222222222,0,0.375,0.125,0,0,0.125,0,0.125,0.25,0.125,0.125,0,0,0,0,0,0,112.6666667,0,2,0,1,0,1,0
9,1,1,0.797392596,0.797392596,0.2,0,0.333333333,0.111111111,0,0,0.111111111,0,0.111111111,0.222222222,0.111111111,0.111111111,0,0,0,0,0,0,112.4,0,1,0,2,0,2,0
10,2,2,0.806351706,0.806351706,0.2,1,0.3,0.2,0,0,0.1,0,0.1,0.2,0.1,0.1,0,0,0,0,0,0,112.4,112,0,5,0,1,0,1
11,1,2,0.828571807,0.828571807,0.2,0.5,0.272727273,0.181818182,0,0,0.090909091,0,0.090909091,0.181818182,0.090909091,0.090909091,0,0,0,0,0,0,112.4,121,0,5,0,2,0,1
12,1,2,0.871732843,0.871732843,0.2,0.333333333,0.25,0.166666667,0,0,0.083333333,0.083333333,0.083333333,0.166666667,0.083333333,0.083333333,0,0,0,0,0,0,112.4,120.6666667,0,4,0,2,0,1
13,2,2,0.889443033,0.889443033,0.2,0.25,0.230769231,0.230769231,0,0,0.076923077,0.076923077,0.076923077,0.153846154,0.076923077,0.076923077,0,0,0,0,0,0,112.4,122.5,0,5,0,2,0,2
14,2,2,0.894981099,0.894981099,0.2,0.2,0.214285714,0.214285714,0,0,0.071428571,0.071428571,0.071428571,0.142857143,0.071428571,0.071428571,0,0,0,0,0,0,112.4,124,0,4,0,2,0,2
15,1,2,0.900566107,0.900566107,0.2,0.166666667,0.2,0.2,0,0,0.066666667,0.066666667,0.066666667,0.133333333,0.066666667,0.066666667,0,0,0,0,0,0,112.4,119.5,0,3,0,2,0,1
16,2,2,0.901673957,0.901673957,0.2,0.142857143,0.1875,0.1875,0,0,0.0625,0.0625,0.0625,0.125,0.0625,0.0625,0,0,0,0,0,0,112.4,120.1428571,0,2,0,2,0,0
17,2,2,0.902498594,0.902498594,0.2,0.125,0.176470588,0.235294118,0,0,0.058823529,0.058823529,0.058823529,0.176470588,0.058823529,0.117647059,0,0,0,0,0,0,112.4,119.625,0,4,0,2,0,2
18,1,1,0.902252519,0.902252519,0.272727273,0.125,0.222222222,0.222222222,0,0,0.055555556,0.055555556,0.055555556,0.166666667,0.055555556,0.111111111,0,0,0,0,0,0,113.6363636,119.625,4,0,1,0,0,0
19,1,1,0.860350419,0.860350419,0.25,0.125,0.210526316,0.210526316,0,0,0.052631579,0.052631579,0.052631579,0.157894737,0.052631579,0.105263158,0,0,0,0,0,0,114.75,119.625,5,0,1,0,1,0
20,2,1,0.856364859,0.854185177,0.230769231,0.125,0.2,0.2,0,0,0.05,0.05,0.05,0.15,0.05,0.1,0,0,0,0,0,0,114.6923077,119.625,3,0,2,0,1,0
21,1,1,0.89912744,0.893094829,0.214285714,0.125,0.19047619,0.19047619,0,0,0.047619048,0.095238095,0.047619048,0.142857143,0.047619048,0.095238095,0,0,0,0,0,0,115.5714286,119.625,1,0,2,0,2,0
22,1,1,0.910528579,0.892497013,0.2,0.125,0.181818182,0.181818182,0,0,0.045454545,0.090909091,0.045454545,0.136363636,0.045454545,0.090909091,0,0,0,0,0,0,114.7333333,119.625,2,0,2,0,1,0
23,2,2,0.977140237,0.893453511,0.2,0.111111111,0.173913043,0.173913043,0,0,0.086956522,0.086956522,0.043478261,0.130434783,0.043478261,0.086956522,0,0,0,0,0,0,114.7333333,118.2222222,0,2,0,2,0,2
24,2,2,0.982163858,0.899663048,0.2,0.1,0.166666667,0.166666667,0,0,0.083333333,0.083333333,0.041666667,0.125,0.041666667,0.083333333,0,0,0,0,0,0,114.7333333,117.5,0,3,0,2,0,2
25,2,2,0.977625966,0.89951842,0.2,0.181818182,0.16,0.2,0,0,0.08,0.08,0.04,0.12,0.04,0.08,0,0,0,0,0,0,114.7333333,118.1818182,0,4,0,2,0,0
