,speed_mph
0,111.0
1,126.0
2,102.0
3,120.0
4,108.0
5,127.0
6,111.0
7,124.0
8,127.0
9,125.0
10,123.0
11,119.0
12,107.0
13,121.0
14,128.0
15,101.0
16,122.0
17,107.0
18,85.0
19,88.0
20,121.0
21,121.0
22,108.0
23,128.0
24,128.0
25,117.0
26,110.0
27,128.0
28,98.0
29,95.0
30,108.0
31,126.0
32,111.0
33,125.0
34,121.0
35,129.0
36,131.0
37,103.0
38,
39,130.0
40,118.0
41,117.0
42,110.0
43,120.0
44,125.0
45,114.0
46,129.0
47,126.0
48,117.0
49,126.0
50,
51,94.0
52,111.0
53,107.0
54,94.0
55,86.0
56,104.0
57,118.0
58,113.0
59,116.0
60,
61,93.0
62,125.0
63,120.0
64,112.0
65,122.0
66,115.0
67,92.0
68,109.0
69,109.0
70,92.0
71,121.0
72,99.0
73,118.0
74,110.0
75,122.0
76,105.0
77,126.0
78,113.0
79,126.0
80,132.0
81,128.0
82,116.0
83,123.0
84,124.0
85,115.0
86,122.0
87,95.0
88,101.0
89,115.0
90,84.0
91,124.0
92,109.0
93,129.0
94,100.0
95,119.0
96,104.0
97,115.0
98,91.0
99,88.0
100,91.0
101,124.0
102,108.0
103,116.0
104,114.0
105,109.0
106,125.0
107,119.0
108,109.0
109,115.0
110,113.0
111,123.0
112,115.0
113,85.0
114,106.0
115,101.0
116,110.0
117,132.0
118,126.0
119,122.0
120,
121,103.0
122,122.0
123,123.0
124,121.0
125,106.0
126,118.0
127,124.0
128,128.0
129,109.0
130,123.0
131,122.0
132,101.0
133,128.0
134,112.0
135,121.0
136,120.0
137,97.0
138,118.0
139,106.0
140,121.0
141,110.0
142,123.0
143,109.0
144,91.0
145,125.0
146,83.0
147,113.0
148,120.0
149,120.0
150,91.0
151,96.0
152,126.0
153,120.0
154,120.0
155,120.0
156,101.0
157,115.0
158,109.0
159,115.0
160,114.0
161,113.0
162,102.0
163,102.0
164,112.0
165,97.0
166,128.0
167,109.0
168,109.0
169,87.0
170,84.0
171,92.0
172,118.0
173,98.0
174,93.0
175,110.0
176,115.0
177,120.0
178,122.0
179,105.0
180,109.0
181,
182,118.0
183,120.0
184,89.0
185,111.0
186,117.0
187,122.0
188,120.0
189,93.0
190,122.0
191,111.0
192,120.0
193,118.0
194,107.0
195,102.0
196,101.0
197,113.0
198,123.0
199,129.0
200,119.0
201,114.0
202,120.0
203,112.0
204,111.0
205,108.0
206,118.0
207,119.0
208,121.0
209,116.0
210,
211,130.0
212,128.0
213,118.0
214,123.0
215,108.0
216,123.0
217,121.0
218,90.0
219,105.0
220,117.0
221,124.0
222,107.0
223,111.0
224,
225,123.0
226,118.0
227,116.0
228,98.0
229,130.0
230,
231,114.0
232,89.0
233,102.0
234,114.0
235,113.0
236,112.0
237,95.0
238,120.0
239,94.0
240,121.0
241,90.0
242,117.0
243,100.0
244,94.0
245,122.0
246,119.0
247,114.0
248,100.0
249,111.0
250,126.0
251,130.0
252,122.0
253,113.0
254,123.0
255,113.0
256,100.0
257,109.0
258,115.0
259,125.0
260,95.0
261,116.0
262,121.0
263,109.0
264,122.0
265,89.0
266,108.0
267,120.0
268,123.0
269,
270,104.0
271,128.0
272,
273,97.0
274,95.0
275,109.0
276,92.0
277,123.0
278,117.0
279,124.0
280,114.0
281,126.0
282,93.0
283,120.0
284,115.0
285,95.0
286,118.0
287,93.0
288,122.0
289,101.0
290,87.0
291,117.0
292,118.0
293,88.0
294,125.0
295,123.0
296,121.0
297,110.0
298,119.0
299,114.0
300,123.0
301,107.0
302,121.0
303,124.0
304,100.0
305,123.0
306,99.0
307,121.0
308,119.0
309,100.0
310,128.0
311,123.0
312,123.0
313,118.0
314,109.0
315,115.0
316,105.0
317,124.0
318,112.0
319,88.0
320,99.0
321,115.0
322,108.0
323,111.0
324,110.0
325,108.0
326,123.0
327,99.0
328,127.0
329,123.0
330,114.0
331,124.0
332,130.0
333,129.0
